file_name,text,Category,fold
16714,vascular nonvascular expression incam target mononuclear leukocyte adhesion normal inflame human tissue inducible cell adhesion molecule incam adhesion receptor lymphocyte monocyte identify endothelium use technique little incam detect endothelium normal human tissue contrast incam express postcapillary venule variety active inflammatory process acute appendicitis incam find coincident strong expression endothelial leukocyte adhesion molecule elam molecule function neutrophil adhesion however certain chronic inflammatory process sarcoidosis incam observe without simultaneous elam expression antiincam antibody also mark several extravascular cell type include lymphoid dendritic cell tissue macrophage synovial line cell reactive mesothelial cell data suggest role endothelial incam pathophysiology acute chronic inflammatory reaction furthermore incam may function adhesion molecule mononuclear leukocyte variety extravascular sit,Musculoskeletal Diseases,0
26965,danazol therapy autoimmune hemolytic anemia associate systemic lupus erythematosus describe patient systemic lupus erythematosus sle complicate severe autoimmune hemolytic anemia therapy corticosteroid splenectomy azathioprine chlorambucil intravenous immunoglobulin unsuccessful respond danazol however maintenance hemoglobin reduction transfusion corticosteroid requirement thus danazol may represent important therapeutic option treatment autoimmune hemolytic anemia,Hemic and Lymphatic Diseases,1
39490,intestinal injury lumbar discectomy review lumbar discectomies perform two patient sustain ventral perforation disc space follow isolate small intestinal injury patient undergo lumbar discectomy lumbosacral junction present sign symptom acute abdominal distress within three day operation surgical laparotomy small tear note ileum close primarily patient uneventful recovery result review instance report literature suggest isolate intestinal injury usually occur postoperatively lumbosacral junction involve small intestine factor body habitus surgical experience patient position type instrument well use surgical microscope appear modify risk intestinal injury discectomy patient may present acute abdominal sign symptom chronic wind infection workup study include evaluation vascular structure ureter either abdominal exploration high index suspicion adequate disc space visualization discectomy may reduce incidence complication,Musculoskeletal Diseases,2
39951,toxic oil syndrome current clinical epidemiologic summary include comparison syndrome spring summer epidemic new illness refer toxic oil syndrome occur central northwestern spain result case hospital admission greater death 1st year epidemic initial onset illness usually acute patient present primarily respiratory syndrome involve cough fever dyspnea hypoxemia pulmonary infiltrate pleural effusion approximately patient recover acute phase illness without apparent sequela remain patient develop intermediate chronic phase illness involve severe myalgia eosinophilia peripheral nerve damage sclerodermiform skin lesion sicca syndrome alopecia joint contracture among finding epidemiologic analytic chemical study clearly link toxic oil syndrome ingestion oil mixture contain rapeseed oil denature aniline however precise identity etiologic agent within oil never determine aniline cause illness causal agent may reaction product aniline oil component although many aspect disease activity involve patient lessen time ultimate consequence disease clear subject ongoing study recently describe syndrome unite state clinically resemble toxic oil syndrome,Musculoskeletal Diseases,3
46914,shift interleukin interferongamma production cell patient elevate serum ige level modulatory effect lymphokine spontaneous ige synthesis interleukin demonstrate induce ige synthesis peripheral blood mononuclear cell pbmncs healthy donor study demonstrate also enhance spontaneous ige synthesis pbmncs allergicatopic patient patient buckleys hyperige syndrome spontaneous ige production pbmncs patient suppress interferon ifngamma ifnalpha dosedependent fashion despite high serum ige level could detect serum patient indirect evidence obtain indicate enhance production vivo may associate high serumige level patient spontaneous production measure pbmnc culture patient test furthermore spontaneous ige synthesis pbmncs three patient seven test vitro partly block antiil antiserum addition level soluble cd23 specifically induce strongly elevate serum patient finally activation pbmncs patient result level ifngamma synthesis higher lower respectively level produce pbmncs healthy control donor test parallel collectively data indicate spontaneous ige synthesis vitro modulate ifngamma ifnalpha addition data suggest enhance reduce ifngamma production associate elevate serum ige level observe patient,Hemic and Lymphatic Diseases,4
27816,cytokine chronic inflammatory arthritis analysis synovial cell involve factor production gene expression rheumatoid arthritis regulation tumor necrosis factoralpha csf gmcsf potent stimulator macrophage neutrophil produce rheumatoid arthritis synovium report study identify synovial cell cytokine responsible local gmcsf production gene expression gmcsf assay elisa supernatant culture fibroblastlike synoviocytes stimulate various cytokine beta tnfalpha macrophagecsf ifngamma tgfbeta immunoreactive gmcsf detect beta culture cell culture medium stimulate cytokine tnfalpha synergistic effect gmcsf production gmcsf gene expression fibroblastlike synoviocytes analyze ribonuclease protection assay northern blot analysis situ hybridization beta tnfalpha induce gmcsf mrna accumulation maximum effect stimulation study gmcsf production macrophagelike synoviocytes ml isolate fresh synovial specimen flow fresh ml spontaneously secrete cytokine exogenous beta tnfalpha effect culture additional stimulation beta tnfalpha require gmcsf production finally situ hybridization perform freshly isolate subpopulation synovial cell identify gmcsf rna transcript ml,Musculoskeletal Diseases,0
2089,high lumbar disc degeneration incidence etiology three hundred seventynine consecutive magnetic resonance image mri dualecho image entire lumbar spine review author patient present back pain andor leg pain interview examine pain drawing complete patient disc pathology involve t12l1 andor level six patient isolate disc degeneration andor herniation limit high lumbar segment remain patient degenerative change higher disc variable involvement lower lumbar disc high disc pathology one level present skip lesion severe high disc lesion note grade slip isolate high disc degeneration often associate preexist abnormality endplate defect scheuermanns disease limbus vertebra forth stressful cumulative work activity construction worker airplane mechanic forth high disc degeneration note previous fracture high disc involvement diffuse change lower lumbar spine commonly find ascend fashion older age group patient previous lower lumbar spine surgery prior fusion particular finding suggest alter mechanic associate high lumbar disc pathology,Musculoskeletal Diseases,1
13848,platelet aggregation plateletrich plasma whole blood patient disorder vitro platelet aggregation plateletrich plasma prp whole blood assess patient idiopathic myelofibrosis essential thrombocytosis polycythemia vera chronic myelogenous leukemia prp subject show normal reduce platelet aggregation whereas majority patient show increase platelet function spontaneous platelet aggregation spa observe frequently whereas seldom observe prp spa inhibit vitro addition aspirin apyrase spa partially dependent high platelet count also occur sample normal platelet content variance subject reactive thrombocytosis spa observe sample high platelet concentration platelet patient idiopathic myelofibrosis highest tendency undergo spa,Hemic and Lymphatic Diseases,2
6139,evaluation manual hexadimethrine bromide polybrene technique investigation autoimmune hemolytic anemia use direct manual hexadimethrine bromide polybrene test dpt investigation patient autoimmune hemolytic anemia aiha evaluate seventynine blood sample patient test direct antiglobulin test dat use monospecific reagent dpt perform concentrate ether eluate test dat positive patient negative good correlation among dat eluate dpt demonstrate presence immunoglobulin red cell surface contrast dpt detect c3d often negative case aiha c3d alone demonstrate dat datnegative case dpt result correlate reactive eluate however four case datnegative hemolytic anemia dpt support diagnosis aiha eluate react dpt useful additional screen test investigation aiha recommend replacement either eluate test dat,Hemic and Lymphatic Diseases,3
37766,measurement serum granulocyte factor patient congenital agranulocytosis kostmanns syndrome monthold boy kostmanns syndrome admit cavitary pulmonary disease also bacterial conjunctivitis periorbital cellulitis pneumonitis otitis medium since age day umbilical cord fall week old neutropenia diagnose week age antineutrophil antibody study negative bone marrow aspirate show granulocytic hypoplasia maturation arrest promyelocyte stage hematopoietic cell culture show normal number colonyforming macrophage serum factor level ngml normal greater ngml serum granulocyte factor level measure enzyme immunoassay undetectable patient successfully treat filgrastim granulocyte factor increase absolute neutrophil count thus case kostmanns syndrome appear represent defect regulation production granulocyte factor,Hemic and Lymphatic Diseases,4
41632,recombinant human factor chemotherapy patient acute myeloid leukemia higher age relapse reduce critical neutropenia chemotherapy acute myeloid leukemia aml administer recombinant human factor gmcsf patient age year newly diagnose aml patient early second relapse day thioguanine arac daunorubicin tad9 newly diagnose aml sequential highdose arac mitoxantrone sham relapse patient whose bone marrow free blast continuous intravenous infusion gmcsf microgramsm2d start day thirtysix patient enter study receive gmcsf comparison historical control group patient use complete remission rate versus control early death rate versus treatment gmcsf associate major adverse event two patient show mark leukemic regrowth completely reversible one patient appear gmcsf independent patient remission duration seem reduce gmcsf gmcsf blood neutrophil recover day earlier tad9 sham group associate rapid clearance infection patient conclude gmcsf therapeutic benefit patient provide basis larger control trial,Hemic and Lymphatic Diseases,0
15943,natural history nontraumatic avascular necrosis femoral head study natural history nontraumatic avascular necrosis femoral head anfh hip patient steroidinduced relate misuse alcohol idiopathic average length followup five year collapse occur often focus bone necrosis occupy weightbearing surface femoral head flatness head due subchondral fracture early manifestation collapse classification six type base upon radiographic finding provide accurate prognosis individual case anfh useful plan treatment assess outcome,Musculoskeletal Diseases,1
9353,normal reticulin level iliac bone marrow level marrow reticulin may factor use presence hematologic disorder consider knowledge study grade amount reticulin present normal iliac bone marrow grade reticulin stain bone biopsy specimen hematologically normal patient document normal amount reticulin marrow low twentyseven percent patient marrow reticulin grade use bauermeister scale grade grade grade patient bauermeister grade reticulin level knowledge normal range reticulin essential reticulin level use factor evaluate possibility hematologic disorder,Hemic and Lymphatic Diseases,2
35992,use guideline base questionnaire audit hospital care acute asthma objectivesto design audit questionnaire pilot use audit assistant monitor inpatient management acute asthma compare care give chest physician general physician review chest physician audit assistant random sample case record patient criterion base questionnaire develop hospital guideline management acute asthma settingone district general hospital patient adult patient acute asthma admit relevant primary diagnosis april march admit accident emergency department april march main outcome recognise standard assessment management acute asthma audit chest physician general physician resultsage sex differ significantly different group patient overall deviation guideline occur record measure severity asthma emergency treatment beta agonist steroid prescription antibiotic accordance least one criterion guideline chest physician rigorous general physician record severity measure especially serum potassium concentration chi emergency steroid treatment within correct period chi referral follow outpatient chest clinic record arterial blood gas tension improve significantly sample chi conclusionsthe questionnaire prove easy use doctor audit assistant audit improve standard care emphasise need reinforcement feedback,Immunologic Diseases,3
37511,change level antibody kda polypeptide u1rnp complex relation exacerbation systemic lupus erythematosus order investigate whether disease exacerbation systemic lupus erythematosus sle accompany precede change antibody level u1rna associate kda polypeptide prospectively collect plasma specimen patient sle compare change anti kdaantia level measure elisa use clone antigen change level antidsdna total igg measurable level anti kda andor antia antibody detect exacerbation four exacerbation measurable level anti kda antibody precede significant rise anti kda level significant fall level anti kda change remain case one exacerbation detectable antia antibody level precede significant rise antia antibody level change exacerbation case six exacerbation precede significant rise antidsdna case level antidsdna change exacerbation contrast antidsdna relation find change level anti kdaantia change disease activity significant change level anti kdaantia occur case accompany parallel change total igg conclude contrast antidsdna serial measurement level anti kdaantia useful monitor disease activity predict disease exacerbation sle,Immunologic Diseases,4
38082,alter lipid profile kawasaki syndrome background delineation lipid value child kawasaki syndrome important predilection disease coronary artery method result measure plasma concentration total cholesterol high density lipoprotein hdl cholesterol triglyceride use enzymatic method patient history kawasaki syndrome measurement obtain six time period day less day month month year year total cholesterol depress first interval mgdl mean mean value normal period clinical recovery overall mean mgdl high density lipoprotein cholesterol also depress first interval mgdl although high density lipoprotein cholesterol increase significantly duration since disease onset less remain significantly lower expect less even latest interval mgdl nonfasting triglyceride level high mgdl first interval diminish steadily time relation achieve statistical significance compare adjust lipid level score kawasaki patient clinical recovery parent patient similar total cholesterol level significantly lower high density lipoprotein cholesterol level mother father mean high density lipoprotein cholesterol clinical recovery tend lower patient persistent coronary abnormality without lesion conclusion kawasaki syndrome associate important abnormality lipid metabolism continue longterm surveillance population necessary monitor lipid level relation future development coronary atherosclerosis,Hemic and Lymphatic Diseases,0
7041,attitude medical school faculty student toward acquire syndrome attitude faculty student influence success educational program address acquire syndrome aid medical school faculty student complete need assessment questionnaire university louisville result compare assess respondent attitude aid faculty student find fearful infection strong negative attitude toward aid patient low level confidence current knowledge aid cognitive affective train strategy recommend help learner distinguish unwarranted warrant fear infection increase empathy patient aid,Immunologic Diseases,1
2199,prenatal identification potential donor umbilical cord blood transplantation fanconi anemia report study fanconi anemia fetal cell lead first use umbilical cord blood hematopoietic reconstitution clinical trial prenatal diagnosis hla type perform fetus risk fanconi anemia identify prior birth unaffected syndrome hlaidentical affect sibling umbilical cord blood harvest delivery infant assay progenitor cell indicate presence colonyforming cfugm number similar bone marrow cfugm associate successful engraftment hlamatched allogeneic bone marrow transplantation possibility umbilical cord blood single individual use alternative bone marrow hematopoietic reconstitution demonstrate successful engraftment two patient progenitor cell assay umbilical cord blood collect birth child affect misdiagnosed basis chorionic villus sample cv study indicate profound deficiency colony formation consistent previously report abnormality growth cell vitro result suggest hematopoietic disorder relate underlie problem cell proliferation,Hemic and Lymphatic Diseases,2
